text,label
prospects for antineutrino running at miniboone,5
exclusive rho-0 electroproduction on transversely polarized protons,5
multipolar interference for nonreciprocal nonlinear generation,12
multidimensional topological foam,6
hypertriton electric polarizability,14
localized supersoft supersymmetry breaking,3
mitigation of interchannel nonlinear interference in wdm systems,12
understanding cygnus x-3 through multiwavelength studies,13
nonlinear sigma-model for odd triplet superconductivity in superconductor/ferromagnet structures,2
galactic archaeology: current surveys,9
clifford algebra and space-time transformations: lorentz transformation and inertial transformation,6
semiflexible compact polymers in two dimensional nonhomogeneous confinement,17
viscous fingering at ultralow interfacial tension,7
supereddington accretion in ultraluminous neutron star binary,13
on the period-ratio-mass-ratio correlation of extrasolar multiplanet systems,11
nonassociativity as gravity,6
subchandrasekhar mass models for type ia supernovae,13
the miniboone experiment : an overview,5
transient dynamics of a superconducting nonlinear oscillator,2
autonomous multipartite entanglement engines,15
the interacting and nonconstant cosmological constant,1
probing extrasolar planetary systems with interstellar meteors,11
multiphase outflows as probes of agn accretion history,9
interacting parametrized postfriedmann method,1
nonperturbative quark mass renormalization,16
three-form inflation and nongaussianity,1
nonthermal excitation and ionization in supernovae,18
two-bands superconductivity with intra and interband pairing for synthetic superlattices,2
subdiffusive transport in heterogeneous patchy environments,17
ultrasoft sources as supernova type ia progenitors,18
antisymmetric magnetoresistance of the srtio3/laalo3 interface,0
multiscale analysis of subwavelength imaging with metal-dielectric multilayers,12
noncircular motions in the outer perseus spiral arm,9
chaotic front dynamics in semiconductor superlattices,4
supergiants transiting towards white dwarf,18
the multiwavelength counterparts of fast radio bursts,13
spin physics with antiprotons,5
nonreciprocal brillouin scattering induced transparency,12
temporal studies of supergiant fast x-ray transients,13
two-dimensional $\mathcal{n}=2$ superyangmills theory,16
subtle interface magnetism of fe/au multilayers,19
surfactant-mediated growth of nonequilibrium interfaces,4
"nonlocality, contextuality and transition sets",15
the birth rate of subluminous and overluminous type ia supernovae,18
double phase transition in the triangular antiferromagnet ba$_3$cota$_2$o$_9$,19
galileon intermediate inflation,6
high-energy antiprotons from old supernova remnants,13
local primordial nongaussianities and supersample variance,1
nonparaxial abruptly autofocusing beams,12
high-temperature superconductivity in doped antiferromagnets,4
understanding ghost interference,15
extraordinarily transparent compact metallic metamaterials,12
multispecies reaction-diffusion systems,4
noncontextuality in multipartite entanglement,15
ruling out bipartite nonsignaling nonlocal models for tripartite correlations,15
extraordinary transverse magneto-optical kerr effect in a superlens,12
semiclassical transition probabilities for interacting oscillators,3
semimeissner state and nonpairwise intervortex interactions in type-1.5 superconductors,2
avoiding resonance capture in multiplanet extrasolar systems,11
type-i superconductivity in noncentrosymmetric nbge$_{2}$,2
dissipative electron transport through andreev interferometers,4
disc-halo interactions in {\lambda}cdm,9
decay rate of triaxiallydeformed proton emitters,14
the jem-euso mission,13
kepler-90: giant transittiming variations reveal a superpuff,11
anomalous phase matching through inter subcycle interference,12
multipartiteentanglement monotones and polynomial invariants,15
nucleon-nucleon interaction models and nonlocality,14
multiphoton annihilation of monopolium,3
charge transport in voltage-biased superconducting single-electron transistors,4
nonlocal interactions in moir\'e hubbard systems,0
covariant multiloop superstring amplitudes,10
semiclassical theory of transport in antidot lattices,4
interference and interaction in multiwall carbon nanotubes,8
multicaloric effect in multiferroic y2comno6,19
positron transport in the interstellar medium,13
superconducting phase transitions in ultrathin tin films,2
nonhermitian time-dependent perturbation theory: asymmetric transitions and transitionless interactions,15
novel multipleband superconductor srpt2as2,2
"nuclear shape transitions, level density, and underlying interactions",14
protocol for counterfactually transporting an unknown qubit,15
uncertainties in extracting $s_{17}$ from transfers,14
designed nonlocal pseudopotentials for enhanced transferability,4
numerical overcooling in shocks,1
the interacting nature of dwarf galaxies hosting superluminous supernovae,9
gauge noninvariance of quark-quark interactions,3
fresh look on triality,16
on noncritical superstring/black hole transition,10
transport through ferromagnet/superconductor interfaces,8
convergent filaments contracting towards an intermediatemass prestellar core,9
sd-type exchange interactions in nonhomogeneous ferromagnets,19
minimal supersymmetric left-right model,3
anisotropic superconducting spin transport at magnetic interfaces,2
nonhermitian multimode interference,12
boson-controlled quantum transport,0
two-stage magnetic-field-tuned superconductorinsulator transition in underdoped la$_{2-x}$sr$_{x}$cuo$_{4}$,2
multipartite nonlocality swapping,15
new interpretation of superhumps,18
semiinclusive dis and transversity,3
fluctuations in polymer translocation,17
multidimensional trio coherent states,15
supernovae from blue supergiant progenitors: what a mess!,18
photodissociation of interstellar arh+,9
soft hadronic interactions,5
transformation kinetics of alloys under nonisothermal conditions,19
instantons and monopoles in the nonperturbative qcd,16
the transits of extrasolar planets with moons,11
two-particle interferometry for noncentral heavy-ion collisions,14
supersymmetry and superpartners,3
trivial and nontrivial superconductivity in dsdna,2
formulas for radial transport in protoplanetary disks,11
superconductorinsulator quantum phase transitions,4
superselective adsorption of multivalent polymeric particles,7
contrast in multipath interference and quantum coherence,15
transverse photon spin beyond interfaces,12
tricks to implement the overlap dirac operator,16
transient ultraluminous x-ray source ngc5474 x-1,13
"noether supercurrents, supergravity and broken supersymmetry",10
kaonic deuterium and low-energy antikaonnucleon interaction,14
clicdp overview: overview of physics potential at clic,5
new higher-order transition in causal dynamical triangulations,16
operational nonclassicality in minimal autonomous thermal machines,15
shock evolution in nonradiative supernova remnants,13
equivalent hyperonnucleon interactions in low-momentum space,14
hyperfine interaction in quarkonia,5
resonant exchange interaction in semiconductors,8
"superembeddings, partial supersymmetry breaking and superbranes",10
subband occupation in semiconductorsuperconductor nanowires,8
superradiantly stable nonextremal reissner-nordstrom black holes,6
phase transitions in core-collapse supernova matter at subsaturation densities,14
multiplexing complex two-dimensional photonic superlattices,12
landau-zener interferometry with superconducting qubits,8
a superearth transiting a naked-eye star,11
gravitational superenergy tensor,6
subaru hyper suprime-cam survey for an optical counterpart of gw170817,13
understanding gravity: some extra dimensional perspectives,6
qed: chiral transition and the issue of triviality,16
normal stresses in semiflexible polymer hydrogels,7
triple intersections and geometric transitions,10
"microreversibility, fluctuations, and nonlinear transport in transistors",17
semilocal strings and monopoles,10
quiet-sun intensity contrasts in the near ultraviolet,18
theoretical studies of superconductorinsulator transitions,2
nonmeanfield screening by multivalent counterions,7
starbursts triggered by intergalactic tides and interstellar compressive turbulence,9
locally noncentrosymmetric superconductivity in multilayer systems,2
ultrafast electron-phonon-magnon interactions at noble metal-ferromagnet interfaces,19
hops 108: star-formation triggered by a nonthermal jet?,9
multilayer adsorption of interacting polyatomics on heterogeneous surfaces,17
multidimensional features of neutrino transfer in core-collapse supernovae,13
a transient supergiant x-ray binary in ic10. an extragalactic sfxt?,13
transient superconductivity without superconductivity,8
double-humped superluminous supernovae,13
genuine multipartite nonlocality with causal-diagram postselection,15
extreme submillimetre starburst galaxies,9
transport coefficients and nonextensive statistics,17
intensity contrast of the average supergranule,18
higher conformal multifractality,17
nonabelian monopoles in the multiterminal josephson effect,2
gap structure in noncentrosymmetric superconductors,2
multiscale physics from multibraneworlds,10
vertical transport in superlattices,4
ultrasound transmission through monodisperse 2d microfoams,7
outward migration of superjupiters,11
proposals on nonperturbative superstring interactions,10
multicontrol over graphene-molecule hetereo-junctions,8
metal-insulator transition in transition metal dichalcogenide heterobilayer moir\'e superlattices,0
dissipation in relativistic outflows: a multisource overview,13
understanding i=2 pi-pi interaction,3
antiferrodistortive phase transition in eutio3,19
h.e.s.s. multimessenger observations,13
electromagnetic models for multilayer superconducting transmission lines,2
nonlinear particle reacceleration by multiple shocks,13
high-energy neutrino and gamma-ray transients from transrelativistic supernova shock breakouts,13
superconductivity from piezoelectric interactions in weyl semimetals,0
analytical theory of multipass crystal extraction,5
nonlinear logarithmic interactions and a varying polytropic gas,6
noncompensation of the barrel combined calorimeter prototype,5
underknotted and overknotted polymers: unrestricted loops,7
percolation transitions with nonlocal constraint,17
design principles for super selectivity using multivalent interactions,7
generalised superradiant scattering,6
final state interactions in two-particle interferometry,14
opto-mechanical intercore cross-talk in multicore fibers,12
a multifluid perspective on multimessenger modelling,6
the st7 interferometer,6
dynamics of electric transport in interacting weyl semimetals,0
damped transverse oscillations of interacting coronal loops,18
supertubes versus superconducting tubes,10
analysis of counterfactuality of counterfactual communication protocols,15
role of nonlinear vector meson interactions in hyperon stars,14
multigap superfluidity in nuclear matter,14
topological gapless phases in nonsymmorphic antiferromagnets,0
extracting hi astrophysics from interferometric intensity mapping,1
multiband semimetallic electronic structure of superconducting ta2pdse5,2
ultraluminous x-ray sources,13
accelerated overlap fermions,16
automated coronal hole identification via multithermal intensity segmentation,18
polydimensional supersymmetric principles,6
quantum interference in an interfacial superconductor,8
phase transitions with four-spin interactions,17
supersymmetric large extra dimensions,3
variable accretion outbursts in protostellar evolution,18
high energy transients,13
x-ray multienergy introscopy systems with new semiconductor scintillators,5
antibaryonnucleus bound states,14
interacting dark sector with transversal interaction,1
protostellar jets enclosed by low-velocity outflows,18
ultrabroadband coherent supercontinuum frequency comb,12
type-1.5 superconductivity in multicomponent systems,2
multiscale modeling of poly(isoprene) melts,7
nonperturbative renormalization of composite operators with overlap fermions,16
high-entropy monoborides: towards superhard materials,19
semileptonic decays $b\rightarrow d^{(*)}l\nu$ at nonzero recoil,16
nontrivial fixed point in nonabelian models,16
the resonant transneptunian populations,11
"ultrathin, high-efficiency mid-infrared transmissive huygens meta-optics",12
the cdf miniplug calorimeters,5
the yellow hypergiant - b[e] supergiant connection,18
minimal constrained supergravity,10
nonabelian anyon superconductivity,0
the metal-insulator transition in semiconductors,17
jlqcd's dynamical overlap project,16
supermassive seeds for supermassive black holes,1
narrow-gap semiconducting behavior in antiferromagnetic eu$_{11}$insb$_9$,0
elasticity of polyelectrolyte multilayer microcapsules,7
multiscale modelling of bionano interface,7
pseudogap and fermi-arcs in underdoped cuprates,0
nonthermal origin of nonlinear transport across magnetically induced superconductormetalinsulator transition,2
underliquid self-assembly of submerged buoyant polymer particles,7
inertial parameters and superfluidtonormal phase transition in superdeformed bands,14
spin superfluidity in noncollinear antiferromagnets,8
nonlocal lagrangian bias,1
qcd thermodynamics with continuum extrapolated dynamical overlap fermions,16
multiple interactions in herwig++,3
the supersymmetric spinning polynomial,10
nonvolatile multilevel states in multiferroic tunnel junctions,19
multichannel kondo necklace,4
hyperscaling in the domany-kinzel cellular automaton,4
ultra high-energy interaction of cr protons,3
improved interpolating fields for hadrons at nonvanishing momentum,16
superantenna made of transformation media,12
superelastic softening of ferroelastic multidomain crystals,19
minimal nonabelian supersymmetric twin higgs,3
nonlandau quantum phase transitions and nearly-marginal nonfermi liquid,0
when topology triggers a phase transition,17
extra gauge symmetry for extra supersymmetry,10
substoichiometric ultrathin zirconia films cause strong metal-support interaction,19
cosmic ray anisotropies from transient extragalactic sources,13
noncommutative superstring worldsheet,10
hnc in protoplanetary disks,18
"multineutron transfer coupling in subbarrier 32s+90,96zr fusion reactions",14
jet substructure in atlas,5
spin-orbit induced interference in polygonstructures,8
holography for noncritical superstrings,10
nonparametric galaxy morphology from uv to submm wavelengths,9
nonequilibrium phase transitions with long-range interactions,17
on the multiplicity of supernovae within host galaxies,1
kids are nongeneric,6
collisional evolution of ultrawide transneptunian binaries,11
triplet superfluidity on a triangular ladder with dipolar fermions,0
non thermal support for the outer intracluster medium,1
multiquarks and two-baryon interaction in lattice qcd,16
multipolar nonlinear nanophotonics,12
ultrafast optimal sideband cooling under nonmarkovian evolution,15
higher-order multipole amplitudes in charmonium radiative transitions,5
exposure of subtle multipartite quantum nonlocality,15
supereccentric migrating jupiters,11
the argus vertex trigger,5
architecture and dynamics of kepler's candidate multiple transiting planet systems,11
the interaction between center monopoles in su(2) yang-mills,16
superconductivity from repulsive interaction,2
postprocessed time-delay interferometry for lisa,6
supersymmetry in noncommutative superspaces,10
realization of minimal supergravity,3
supersymmetric noncommutative solitons,10
probing nonstandard neutrino interactions with supernova neutrinos at hyperk,3
phase transition study of superconducting microstructures,4
transport techniques for nongaussianity,1
autoregressive planet search: methodology,11
'universal' fitzgerald contractions,6
superconductivity in type-ii weyl semimetals,2
time reversal noninvariant nonabelian topological order in noncentrosymmetric superconductors,2
superfluid spin transport through antiferromagnetic insulators,8
nonequilibrium gw+edmft: antiscreening and inverted populations from nonlocal correlations,0
evidence for ultradiffuse galaxy `formation' through galaxy interactions,9
linear and nonlinear supersymmetries,10
$\lambda\lambda$ interaction and hypernuclei,14
subgap conductivity of a superconductingnormal tunnel interface,4
highlights of supersymmetric hypercharge $\pm1$ triplets,3
foundations of supernova cosmology,1
photon structure in photon proton interactions,5
ultrarelativistic fluid dynamics,6
"nonlinear steady-state mesoscopic transport, i. formalism",4
truncated overlap fermions,16
multiscale simulations for polymeric flow,7
overview of exist mission science and implementation,1
panoramic radio astronomy,9
hyperfine interactions in usb2 crystal,19
hyperfine and crystal field interactions in multiferroic hocro${_3}$,0
magnetic excitations in the spin-5/2 antiferromagnetic trimer substance srmn3p4o14,0
nonequilibrium phase transition in nonlocal and nonlinear diffusion model,17
intersite coulomb interaction and heisenberg exchange,4
nonlinear electron and spin transport in semiconductor superlattices,8
protonproton physics with alice,5
transfer reaction code with nonlocal interactions,14
photoinduced structural phase transitions in polyacene,0
spin dependence of the antinucleonnucleon interaction,14
multiple quantum phase transitions in a heavy fermion antiferromagnet,0
one-dimensional itinerant interacting nonabelian anyons,0
nonperturbative transitions among intersectingbrane vacua,10
noncommutative nonsingular black holes,10
supergravity and light-like noncommutativity,10
flavor superconductivity & superfluidity,10
nonabelian n=2 superstrings,10
hyperfine interaction in usb2 crystal,0
rhmc with block solvers and multiple pseudofermions,16
leptonic and semileptonic d-decays,5
triaxial superdeformation in $^{40}$ar,14
multipartite entanglement and hyperdeterminants,15
coherent electron transfer in polyacetylene,8
transverse nucleon structure and multiparton interactions,3
"interplay of superconductivity, antiferromagnetism, and pauli depairing in cecoin$_5$",0
polynomial subtraction method for disconnected quark loops,16
phase transitions of cellular automata,17
the multidimensional character of core-collapse supernovae,13
semiconvection: numerical simulations,18
vortex lattice transition in d-wave superconductors,4
semileptonic d-decays at besiii,5
weak capture of protons by protons,14
antibrackets and supersymmetric mechanics,10
a pseudobinary approach in multicomponent interdiffusion,19
extrasolar asteroid mining as forensic evidence for extraterrestrial intelligence,11
interactions between ultrahighenergy particles and protogalactic environments,13
clumpy outflow from supercritical accretion flows,13
nonlinearity in a crosslinked polyelectric polypeptide,7
proximity-induced superconductivity at nonhelical topological insulator interfaces,2
nonlinearity of the solid-electrolyte-interphase overpotential,19
geometric phase transitions,4
"a resonant chain of four transiting, subneptune planets",11
time-dependent transport in interacting and noninteracting mesoscopic systems,4
extragalactic maser surveys,9
hadronic superpartners from superconformal and supersymmetric algebra,3
hats-8b: a low-density transiting superneptune,11
pqcd physics of multiparton interactions,3
constraints on ultracompact minihalos from extragalactic {\gamma}-ray background,1
"a multiringed, modestly-inclined protoplanetary disk around aa tau",11
monopoles contra vortices in su(2) lattice gauge theory?,16
ratchet transport of interacting particles,17
"nonunitarity, sterile neutrinos, and nonstandard neutrino interactions",3
nonreciprocal hyperbolic propagation over moving metasurfaces,12
transient floquet engineering of superconductivity,0
constraints on nonstandard flavor-dependent interactions from superkamiokande and hyperkamiokande,3
crystal-to-crystal transition of ultrasoft colloids under shear,7
three-nucleon interactions: dynamics,14
ginzburg-landau theory of noncentrosymmetric superconductors,2
interfacial dynamics in transportlimited dissolution,17
antiferromagnetic interlayer coupling in ferromagnetic semiconductor eus/pbs(001) superlattices,4
cosmological experiments in superfluids and superconductors,4
"supernova neutrinos, lsnd and miniboone",3
type-i superconductivity in noncentrosymmetric superconductor aube,2
solute-solute interactions in intermetallic compounds,19
type ia supernovae from wide white-dwarfs triples,13
superactivation of quantum nonlocality,15
rotating radio transients,18
nonperturbative fine-tuning in approximately supersymmetric models,16
updated search for electron antineutrino appearance at miniboone,5
quantum phase transition of hole-doped antiferromagnets,17
superconductortometal quantum phase transition in overdoped $la_{2-x}sr_xcuo_4$,2
directional outcoupling from active hyperbolic metamaterials,12
antimatter production in supernova remnants,13
understanding chiral symmetry breaking with the overlap action,16
characterization of extrasolar planetary transiting candidates ii,11
transcis molecular photoswitching in interstellar space,9
ultralowpower superconductor logic,2
"superinflation, quintessence, and nonsingular cosmologies",6
superworld without supersymmetry,3
the arecibo ultradeep survey,9
outburst and splitting of interstellar comet 2i/borisov,11
automated lattice perturbation theory,16
nonlocal double-slit interference with pseudothermal light,15
interpreting the c-metric,6
supersymmetric superheavy dark matter,3
effects of interactions in transport through aharonov-bohm-casher interferometers,0
spectroscopy with local multihadron interpolators in lattice qcd,16
nonlinear properties of supercurrentcarrying single and multilayer thin-film superconductors,2
multizone nonthermal radiative model for stellar bowshocks,13
interactions between lattice hadrons,16
cluster glasses of semiflexible ring polymers,7
subradianceprotected excitation transport,15
multiferroic fete$_2$o$_5$br: alternating spin chains with frustrated interchain interactions,0
charge transfer at organic-inorganic interfaces,19
intermittent transport of bacterial chromosomal loci,7
semiclassical boltzmann transport theory for multiweyl semimetals,8
nonlinear superconformal symmetry,10
panel discussion on chiral extrapolation of physical observables,16
cosmology from multimeasure multifield model,6
ultralow noise multiwalled carbon nanotube transistors,8
nonlocal cosmological models,6
noncontextuality inequalities from antidistinguishability,15
topological crystalline semimetals in nonsymmorphic lattices,0
strain tunable semimetaltopologicalinsulator transition in monolayer 1t'-wte2,19
minireview of leptoquark searches,5
nonlinear outcome of gravitational instability in an irradiated protoplanetary disc,11
supersymmetric solutions of 4-dimensional supergravities,6
the superb project,5
interior characterization in multiplanetary systems: trappist-1,11
towards an interoperable international lattice datagrid,16
understanding hadronic $\gamma$-ray emission from supernova remnants,13
review of two-photon interactions,5
ising antiferromagnet on the archimedean lattices,17
thermoelectric transport in double-weyl semimetals,0
"interferometric follow-up of wise hyperluminous hot, dust-obscured galaxies",9
the supernovaism/star formation interplay,9
detection of a transiting low-density superearth,18
symmetry-breaking interlayer dzyaloshinskii-moriya interactions in synthetic antiferromagnets,8
identifying the baryons in a multiphase intergalactic medium,1
ultrasonic attenuation in d-wave superconductors,4
weak localization and antilocalization in semiconducting polymer sandwich devices,7
nonequilibrium translationalrotational effects in nucleation,17
physics performance report for panda: strong interaction studies with antiprotons,5
supernova spectra below strong circum-stellar interaction,18
pressure-induced antiferromagnetic bulk superconductor eufe$_2$as$_2$,2
transport coefficients in nonquasiparticle systems,3
protostellar outflows with smoothed particle magnetohydrodynamics (spmhd),18
nonsupersymmetric intersecting branes in supergravity,10
structural transition in auagte4 under pressure,0
supersymmetry and the supergravity landscape,6
multiparticle baryon spectroscopy,16
nematicity liquid in a trimerizedkagome antiferromagnet,0
improved overlap fermions,16
on superstatistical multiplicativenoise processes,17
nonreciprocal transition with cyclic four-level transition,15
multiplicity fluctuations in dis,5
disc-planet interactions in subkeplerian discs,11
single-carrier transport in graphene/hbn superlattices,8
heavy-flavor production overview,5
super yang-mills theory on lattice and the transformation,16
autonomous multispecies reaction-diffusion systems with more-than-two-site interactions,17
color transparency assumptions,14
multipolar interference effects in nanophotonics,12
nonequilibrium phase transitions in systems with long-range interactions,17
supersolid and the nonuniform condensate,17
atmospheres of hot superearths,11
superflares on giant stars,18
the multifaceted skyrmion,14
realizing topological superconductivity with superlattices,8
semileptonic charm decays: mini review,5
nonequilibrium processes in nonhamiltonian statistical ensembles,17
antiprotons produced in supernova remnants,13
superconducting state and phase transitions,2
pseudospin transfer torques in semiconductor electron bilayers,8
semidilute polymer solutions at equilibrium and under shear flow,7
on superconformal projective hypermultiplets,10
multiparty quantum cryptographic protocol,15
antiferromagnetically coupled cofeb/ru/cofeb trilayers,19
perturbative subtraction methods,16
supersymmetry anomalies in new minimal supergravity,10
spin transfer in an antiferromagnet,19
multimode hong-ou-mandel interferometry,15
cheops: a transit photometry mission for esa's small mission programme,11
multivalley engineering in semiconductor microcavities,8
generalized multiphoton quantum interference,15
multifaceted design optimisation for superomniphobic surfaces,7
minimal so(10) splits supersymmetry,3
polymerization with freezing,17
parameterized postnewtonian formalism for multimetric gravity,6
simulating intergalactic quasar scintillation,1
a large subneptune transiting the thick-disk m4v toi-2406,11
nonmarkovian dissipative semiclassical dynamics,17
comments on noncommutative superspace,10
floquet dynamics in multiweyl semimetals,8
"polytypism, polymorphism and superconductivity in tase2-xtex",2
generalized hypersystolic algorithm,16
characterizing extrasolar oort clouds with submillimeterwave observations,11
pairing interaction and two-nucleon transfer reactions,14
abelian monopole or nonabelian monopole responsible for quark confinement,16
mott transition in multiorbital systems,0
recent results from miniboone,5
nonreciprocal charge transport in two-dimensional noncentrosymmetric superconductors,2
ratchet transport with subdiffusion,17
spontaneous trimerization in two-dimensional antiferromagnets,0
interface depinning versus absorbing-state phase transitions,4
type ia supernovae and supersoft x-ray sources,18
synthetic observations of protostellar multiple systems,18
nonlocal calculation for nonstrange dibaryons and tribaryons,14
extragalactic hi surveys,9
planetary internal structures,11
superdimensional metamaterial resonators,12
nodeless superconductivity in the noncentrosymmetric superconductor $mg_{10}ir_{19}b_{16}$,2
drinfeld-twisted supersymmetry and nonanticommutative superspace,10
multiple killing horizons,6
the sun's supergranulation,18
avrami exponent under transient and heterogeneous nucleation transformation conditions,19
sdss dr7 superclusters. morphology,1
fiber-based shape-morphing architectures,7
effect of magnetic misalignment on protobinary evolution,18
multispectral programmable absorbers,12
electron-fluctuation interaction in a nonfermi superconductor,2
gated nonlinear transport in organic polymer field effect transistors,8
superconductivity in doped dirac semimetals,2
gamow-teller transitions and neutron-proton-pair transfer reactions,14
broadband transmission properties of multilayered structures,12
evolution of mass outflow in protostars,18
multiinstantons and superstring solitons,10
hyperkahler geometries and nonlinear supermultiplets,10
near-optimal protocols in complex nonequilibrium transformations,17
nonaffine displacements in flexible polymer networks,7
protostellar jets and outflows in low-mass star formation,9
multiflavor string-net models,0
nonlocal electrodynamics in weyl semimetals,8
superconducting semilocal strings,10
analysing supersymmetric transformed $\alpha$-nucleus potentials with electric-multipole transitions,14
converting multilevel nonclassicality into genuine multipartite entanglement,15
kinematics of the ionized-to-neutral interfaces in monoceros r2,9
redshifted intergalactic 3he+ 8.7 ghz hyperfine absorption,1
dynamics of a polymer under multigradient fields,7
multiband tunneling in trilayer graphene,8
stable multiquark interactions,3
quantum transport in semiconductorsuperconductor microjunctions,8
linearizing nonlinear optics,12
ultraluminous x-ray sources as supereddington accretion disks,13
supersymmetry counterterms revisited,10
atmospheric neutrinos at superkamiokande,5
driven translocation of a semiflexible polymer through a nanopore,7
supergiant pulses from extragalactic neutron stars,13
integrable multidimensional cosmology for intersecting $p$-branes,6
unstable supercritical discontinuous percolation transitions,17
possible triplet superconductivity in mosfets,0
nonlinear transport in quantum-hall smectics,4
slope-reversed mott transition in multiorbital systems,0
ruderman-kittel-kasuya-yosida interaction in weyl semimetals,8
multifractality of entangled random walks and nonuniform hyperbolic spaces,17
electron-electron interactions in antidotbased aharonov-bohm interferometers,8
thermal hyperconductivity: radiative energy transport in hyperbolic media,12
nonequilibrium intermixing and phase transformation in severely deformed al/ni multilayers,19
nondiffracting gravitational waves,6
monopoles in qcd,16
extraordinary transmission induced by defects in semitransparent screens,12
intragroup and intracluster light,9
response evolution of mechanical metamaterials under architectural transformations,7
nonorientable spacetime tunneling,6
the superkamiokande experiment,5
protocol dependence of the jamming transition,7
ultraviolet radiative transfer modeling of nearby galaxies with extraplanar dusts,9
supersymmetry and nonequilibrium work relations,17
nonturing computations via malamenthogarth space-times,6
cluster mislocation in kinematic sunyaev-zel'dovich (ksz) effect extraction,1
black hole outflows,1
multiphase powerful outflows detected in high-z quasars,9
superluminous supernova progenitors have a half-solar metallicity threshold,9
superluminous supernovae at redshifts of 2.05 and 3.90,1
nonlinear qubit transformations,15
core-collapse supernovae missed by optical surveys,1
multitier self-consistent $gw$+edmft,0
nonparaxial phasor-field propagation,12
multisphalerons in the weak interactions,3
spin current in topologically trivial and nontrivial noncentrosymmetric superconductors,2
exotic interband pairing in multiband superconductors,2
indications of a sublinear and nonuniversal kennicutt-schmidt relationship,1
evaluation of counterfactuality in counterfactual communication protocols,15
supersonic evershed flow outside sunspots,18
multiphonon raman scattering in semiconductor nanocrystals: importance of nonadiabatic transitions,8
radial and nonradial oscillations of massive supergiants,18
simultaneous polydirectional transport of colloidal bipeds,7
a superluminal subway: the krasnikov tube,6
constraining nonstandard neutrino-electron interactions,3
"nuclear transparencies for nucleons, knocked-out under various semiinclusive conditions",14
the quasiperiodic automated transit search algorithm,11
investigating extrasolar planetary system qatar-1 through transit observations,11
supergroup field cosmology,6
overlap effects on benzene transmission,8
nonclassical spin transfer effects in an antiferromagnet,19
ordering and demixing transitions in multicomponent widom-rowlinson models,17
superplanckian thermal emission from a hyperlens,12
manifestation of triplet superconductivity in superconductorferromagnet structures,2
correlation in noncollinear antiferromagnetic $\alpha$-mn,19
trirefringence in nonlinear magnetoeletric metamaterials revisited,12
mott-insulator-to-superconductor transition in a two-dimensional superlattice,0
interlayer transport in disordered semiconductor electron bilayers,8
single-degenerate type ia supernovae are preferentially overluminous,18
superfield formulation of nonlinear n=4 supermultiplets,10
multipoint propagators for nongaussian initial conditions,1
color superconductivity via supersymmetry,3
spin-current order in anisotropic triangular antiferromagnets,0
nonadiabatic transitions in multilevel systems,15
transneptunian space and the postpluto paradigm,11
interpreting internal consistency of des measurements,1
hyperscaling for polymer rings,4
antiferromagnetic interactions and the superconducting gap function,4
hadron multiplicities at hermes,5
polytropic inspired inflation,6
triplet superconductivity in coupled odd-gon rings,0
do multineutrons exist?,14
transverse oscillations of a multistranded loop,18
agb interlopers in yso catalogues hunted out by neowise,18
strong interaction studies with panda,5
supersymmetric sum rules in minimal superstring unification,3
phase sensitivity of perturbative nonlinear interactions,12
multifractal fluctuations in seismic interspike series,17
understanding the aoki phase,16
